rep,cruc,cruc.mass,cruc.leaf,cruc.ash,leaf,ash,prop.OM,AFDM
1,1,29.7374,29.8215,29.7448,0.0840999999999994,0.00740000000000052,0.91200951248513,0.0766999999999989
2,2,26.6515,26.7333,26.6582,0.0818000000000012,0.00670000000000215,0.918092909535427,0.0750999999999991
3,3,28.0758,28.15,28.0818,0.0741999999999976,0.00600000000000023,0.919137466307272,0.0681999999999974
4,4,27.4864,27.5704,27.4946,0.0839999999999996,0.00819999999999865,0.902380952380968,0.075800000000001
5,5,30.3797,30.4575,30.3864,0.0777999999999999,0.0066999999999986,0.913881748071997,0.0711000000000013
6,6,31.5143,31.6054,31.522,0.0911000000000008,0.00769999999999982,0.915477497255766,0.083400000000001
