lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash
Campus Pond	66	12/18/2013	352	2013	7.1438	11.6169	57	15	29.9908	31.7771	28.8732
Campus Pond	70	2/26/2014	57	2014	6.9403	9.1577	127	10	29.7493	32.1207	30.3306
Daulton Pond	2	10/22/2013	295	2013	7.3955	11.8928	0	1	29.7365	34.3887	30.0721
Daulton Pond	22	10/22/2013	295	2013	7.3966	11.8908	0	5	30.3779	35.073	30.7145
Daulton Pond	42	10/22/2013	295	2013	7.4082	11.8766	0	10	29.7478	34.4366	30.0822
Daulton Pond	49	10/22/2013	295	2013	7.3618	11.7997	0	12	28.1227	32.8198	28.5111
Daulton Pond	61	10/22/2013	295	2013	7.3403	11.9291	0	14	28.2158	32.9998	28.5542
Daulton Pond	3	10/25/2013	298	2013	7.4675	10.7607	3	2	26.6503	30.1396	26.7968
Daulton Pond	23	10/25/2013	298	2013	7.3955	10.4329	3	6	31.5121	34.7606	31.6785
Daulton Pond	34	10/25/2013	298	2013	7.0195	10.5041	3	8	28.9685	32.4116	29.1495
Daulton Pond	43	10/25/2013	298	2013	7.1171	10.5197	3	11	26.5916	30.1064	26.7445
Daulton Pond	53	10/25/2013	298	2013	7.1044	10.4533	3	13	29.725	33.0735	29.8659
Daulton Pond	5	11/1/2013	305	2013	7.4855	10.5476	10	3	28.0742	31.5678	28.2786
Daulton Pond	18	11/1/2013	305	2013	7.4265	10.2989	10	4	27.4857	30.818	27.6612
Daulton Pond	25	11/1/2013	305	2013	7.3187	10.2519	10	7	28.1961	31.5037	28.3537
Daulton Pond	38	11/1/2013	305	2013	7.3985	10.5556	10	9	27.0784	30.6883	27.2323
Daulton Pond	64	11/1/2013	305	2013	7.3555	10.4301	10	15	30.3788	33.1981	30.4892
Daulton Pond	6	11/6/2013	310	2013	7.3084	9.945	15	1	29.7359	32.5091	29.8539
Daulton Pond	33	11/6/2013	310	2013	7.2125	10.3265	15	2	26.6497	29.9283	27.7653
Daulton Pond	47	11/6/2013	310	2013	7.3189	9.9023	15	3	28.0733	30.842	28.1764
Daulton Pond	57	11/6/2013	310	2013	7.3552	10.1178	15	4	27.4853	30.3766	27.616
Daulton Pond	63	11/6/2013	310	2013	7.4149	10.1013	15	5	30.3788	33.1981	30.4892
Daulton Pond	58	11/13/2013	317	2013	7.2441	10.1011	22	10	29.7488	32.6637	29.9054
Daulton Pond	31	11/13/2013	317	2013	7.2093	10.2748	22	6	31.5123	34.6294	31.6748
Daulton Pond	32	11/13/2013	317	2013	7.194	10.1695	22	7	28.1973	31.214	28.3999
Daulton Pond	36	11/13/2013	317	2013	7.2611	10.2223	22	8	28.966	32.1734	29.1293
Daulton Pond	44	11/13/2013	317	2013	7.2324	10.3028	22	9	27.079	30.0195	28.1887
Daulton Pond	10	11/21/2013	325	2013	7.2454	10.4055	30	16	28.8717	32.049	29.2448
Daulton Pond	15	11/21/2013	325	2013	7.2625	10.3862	30	17	30.5128	33.7107	30.7001
Daulton Pond	39	11/21/2013	325	2013	7.2033	10.1584	30	18	29.435	32.4173	29.5904
Daulton Pond	45	11/21/2013	325	2013	7.2217	10.2143	30	19	28.5462	31.5476	28.6672
Daulton Pond	54	11/21/2013	325	2013	7.2646	10.0252	30	20	29.137	31.9141	29.259
Daulton Pond	19	12/4/2013	338	2013	7.3023	10.58	43	21	31.001	34.2944	31.2111
Daulton Pond	27	12/4/2013	338	2013	7.3268	10.4042	43	22	26.9363	30.0348	27.059
Daulton Pond	35	12/4/2013	338	2013	7.2954	10.521	43	23	28.8139	32.0465	29.0058
Daulton Pond	65	12/4/2013	338	2013	7.2987	10.3444	43	24	29.396	32.4787	29.7377
Daulton Pond	66	12/4/2013	338	2013	7.3054	10.2948	43	15	26.9875	30.0326	27.1321
Daulton Pond	1	12/21/2013	355	2013	7.3312	10.2264	60	1	29.7387	33.0129	30.0143
Daulton Pond	4	9/22/2014	265	2014	7.4456	10.092	335	1	29.7378	32.5241	30.9993
Daulton Pond	7	2/5/2014	36	2014	7.0973	9.5432	106	15	26.9872	29.6195	27.2007
Daulton Pond	8										
Daulton Pond	9										
Daulton Pond	11										
Daulton Pond	12										
Daulton Pond	13	2/5/2014	36	2014	7.1595	9.3083	106	5	30.3797	32.7832	30.615
Daulton Pond	14	12/21/2013	355	2013	7.3452	9.3718	60	2	26.652	29.554	26.8272
Daulton Pond	16	9/23/2014	266	2014	7.4206	9.0469	336	2	26.6542	28.3558	27.1657
Daulton Pond	17	5/21/2014	141	2014	7.1534	9.5401	211	14	28.2177	30.5014	28.4102
Daulton Pond	20	9/25/2014	268	2014	7.4749	8.8069	338	3	28.0775	29.4398	28.4179
Daulton Pond	21	9/23/2014	266	2014	7.4596	9.096	336	4	27.488	29.1181	27.8412
Daulton Pond	24										
Daulton Pond	26	12/21/2013	355	2013	7.3212	9.8558	60	3	28.0758	31.0624	28.2367
Daulton Pond	28	2/27/2014	58	2014	7.0158	10.1572	128	18	29.4327	32.7976	30.0763
Daulton Pond	29	2/5/2014	36	2014	7.1461	9.3699	106	17	30.5109	33.0241	30.6487
Daulton Pond	30	2/27/2014	58	2014	6.936	9.7066	128	24	29.3159	32.0271	29.9067
Daulton Pond	37	2/27/2014	58	2014	7.033	9.7529	128	8	28.9667	31.7603	29.4149
Daulton Pond	40	1/20/2015	20	2015	7.1869	8.1001	454	15	26.9909	28.1133	27.4118
Daulton Pond	41	9/25/2014	268	2014	7.4568	9.3465	338	5	30.3813	32.2492	30.707
Daulton Pond	46	1/20/2015	20	2015	7.1839	12.329	454	16	28.8728	34.1411	30.0305
Daulton Pond	48	12/21/2013	355	2013	7.3292	7.3293	60	4	27.487	30.2993	27.7033
Daulton Pond	50	2/27/2014	58	2014	6.9898	9.4871	128	8	28.9627	31.5296	29.2507
Daulton Pond	51	1/20/2015	20	2015	7.182	10.1322	454	14	28.2186	31.3358	30.0386
Daulton Pond	52	5/21/2014	141	2014	7.1426	9.3033	211	15	26.9904	29.0367	27.2867
Daulton Pond	55	12/21/2013	355	2013	7.3613	9.677	60	20	29.1343	31.5681	29.2425
Daulton Pond	56	5/21/2013	141	2014	7.135	9.1466	211	16	28.8718	30.7671	29.0142
Daulton Pond	59	2/5/2014	36	2014	7.1053	9.6865	106	23	28.8112	31.5171	28.9746
Daulton Pond	60	2/5/2014	36	2014	7.1038	9.7069	106	6	31.5142	34.405	31.7641
