bod,CPOM,nutrient,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD
13,yes,no,23.4,0.0172099889197052,0.194933561782489,0.127580229529351,0.213630174127877,5.18333333333333,1.1858053918033
3,no,no,23.4,0.0115855075973977,0.227820922472395,0.174941742144483,0.232869280131472,5.11666666666667,0.808667352075226
8,no,no,23.4,0.0106108091247776,0.233284466124687,0.183011407544175,0.236065453168063,5.06666666666667,0.747942372517216
5,no,no,23.4,0.0127557618861455,0.253623017391836,0.185548433995482,0.24932724342621,4.98333333333333,0.914173092652568
1,yes,no,23.4,0.0156906833681879,0.235404630968807,0.158852332760934,0.237305749601873,4.91666666666667,1.13975908243496
9,no,no,23.4,0.0101465302463994,0.23879990707276,0.188559334890688,0.239291986122685,4.85,0.747167175728969
12,yes,no,23.4,0.0138380451106258,0.230391276741149,0.165182711825564,0.234372937378693,4.76666666666667,1.03681656673021
6,yes,no,23.4,0.0128496520857432,0.212973206155796,0.159935105657545,0.224183366086261,4.7,0.976417331743404
14,no,yes,23.4,0.0111388467115571,0.248172069489898,0.189080467578926,0.244774701136711,4.55,0.87432077798721
16,yes,yes,23.4,0.0149148894476858,0.2193761695966,0.153354652460703,0.227929099699132,4.45,1.19702162501491
7,no,yes,23.4,0.0100614225196037,0.230240947119567,0.183977881952049,0.234284994550068,4.4,0.816673905811992
4,yes,yes,23.4,0.0105501726295025,0.217461774947401,0.174058315681838,0.226809178829351,4.35,0.866188229023197
10,yes,yes,23.4,0.0168777689546908,0.235632327081735,0.153050107054481,0.237438951827936,4.26666666666667,1.41275967812702
15,no,yes,23.4,0.00806281251013326,0.232549860115026,0.195321646101744,0.235635708652411,4.21666666666667,0.682903374658379
2,no,yes,23.4,0.00680289165853469,0.23288708056457,0.201818524322721,0.235832982615394,4.18333333333333,0.580781871815711
11,yes,yes,23.4,0.0113009610602313,0.233806677634619,0.179866141600216,0.236370946901373,4.08333333333333,0.988422250166006
