lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash	leaf_mass	leaf_mass_AFDM	ash_mass_AFDM	propOM	AFDM
Campus Pond	12	2014/02/04	35	2014	7.0699	10.6998	105	NA	NA	NA	NA	3.6299	NA	NA	NA	NA
Campus Pond	13		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	16		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	19	2014/02/04	35	2014	7.1002	10.4073	105	NA	NA	NA	NA	3.3071	NA	NA	NA	NA
Campus Pond	21		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	23		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	24	2014/01/12	12	2014	7.181	10.1075	82	NA	NA	NA	NA	2.9265	NA	NA	NA	NA
Campus Pond	28		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	30	2013/12/03	337	2013	7.2942	9.8101	42	4	27.4824	30.0507	27.8615	2.5159	2.5683	0.379100000000001	0.852392633259354	2.14453462601721
Campus Pond	32	2014/02/04	35	2014	7.0835	9.7534	105	NA	NA	NA	NA	2.6699	NA	NA	NA	NA
Campus Pond	34	2014/02/04	35	2014	7.1062	9.9931	105	NA	NA	NA	NA	2.8869	NA	NA	NA	NA
Campus Pond	36		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	37	2013/12/18	352	2013	7.2097	10.3274	57	12	28.1236	31.4101	29.2364	3.1177	3.2865	1.1128	0.661402708048075	2.06205522288149
Campus Pond	39		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	40	2014/01/12	12	2014	7.1335	10.6601	82	NA	NA	NA	NA	3.5266	NA	NA	NA	NA
Campus Pond	41		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	42		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	46	2014/02/04	35	2014	7.0748	9.4467	105	NA	NA	NA	NA	2.3719	NA	NA	NA	NA
Campus Pond	50		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	52	2013/12/18	352	2013	7.1957	14.4939	57	14	28.2138	35.4967	32.0797	7.2982	7.2829	3.8659	0.469181232750689	3.42417847286108
Campus Pond	53		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	54	2014/01/12	12	2014	7.1648	11.3777	82	NA	NA	NA	NA	4.2129	NA	NA	NA	NA
Campus Pond	57		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	58		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	59		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	61		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	63		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	64		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campus Pond	65	2014/01/12	12	2014	7.1493	10.0321	82	NA	NA	NA	NA	2.8828	NA	NA	NA	NA
Campus Pond	66	2013/12/18	352	2013	7.1438	11.6169	57	15	29.9908	31.7771	28.8732	4.4731	1.7863	-1.1176	1.62565078654201	7.27169853328108
Campus Pond	70		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	2	2013/10/22	295	2013	7.3955	11.8928	0	1	29.7365	34.3887	30.0721	4.4973	4.6522	0.335599999999999	0.927862086754654	4.1728741627617
Daulton Pond	22	2013/10/22	295	2013	7.3966	11.8908	0	5	30.3779	35.073	30.7145	4.4942	4.6951	0.336600000000001	0.928308236246299	4.17200287533812
Daulton Pond	42	2013/10/22	295	2013	7.4082	11.8766	0	10	29.7478	34.4366	30.0822	4.4684	4.6888	0.334399999999999	0.92868111243815	4.14971868281863
