bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR
5,no,no,25,0.136352468397921,0.203151293546494,-0.0667988251485731,-0.00273952803070019
8,no,no,25,0.148537328482289,0.232880192737552,-0.0843428642552634,-0.00348044831864911
6,yes,no,25,0.0632672616567416,0.0304691342520724,0.0327981274046692,0.00136185996143955
12,yes,no,25,0.0659195763216065,0.00763225249115485,0.0582873238304516,0.00244050204454089
13,yes,no,25,0.0438274991519747,0.0257132853732598,0.0181142137787149,0.000763775703951438
1,yes,no,25,0.061873820119363,0.022531015683401,0.039342804435962,0.00166589150752133
3,no,no,25,0.151335729056822,0.213802550589534,-0.0624668215327116,-0.00266193841758714
9,no,no,25,0.137613158059522,0.200279383629673,-0.0626662255701507,-0.00268377839700859
16,yes,yes,25,0.046647306992119,0.00991496862251569,0.0367323383696033,0.00159014451816465
7,no,yes,25,0.172224709274319,0.215900138993745,-0.043675429719426,-0.00190030876226654
10,yes,yes,25,0.0598685954795432,0.0221150132826376,0.0377535821969056,0.00165103129140986
11,yes,yes,25,0.0786068281969986,0.0141248388562438,0.0644819893407548,0.00283853217934357
2,no,yes,25,0.146382258362881,0.204145477680115,-0.0577632193172338,-0.00255401117099044
4,yes,yes,25,0.0689288308169969,0.0188327794600455,0.0500960513569514,0.00222319754542684
14,no,yes,25,0.152589143737183,0.184192272044889,-0.0316031283077058,-0.00141190446646489
15,no,yes,25,0.17277269831957,0.246273493093098,-0.0735007947735281,-0.003298464986097
