bod,CPOM,nutrient,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD
9,no,no,25.5,0.0187064030463796,0.269892756405952,0.168611319230284,0.262143334462182,5.36666666666667,1.24488041568631
12,yes,no,25.5,0.0223543903805915,0.146698742092548,0.0772413195360518,0.189013271439009,5.3,1.5063605377757
5,no,no,25.5,0.00982500366057946,0.225200820626394,0.185811969078412,0.234936987381309,5.18333333333333,0.676963963751456
6,yes,no,25.5,0.0098867788968,0.17002684482246,0.153226317052008,0.202660211536008,5.08333333333333,0.694621468159251
8,no,no,25.5,0.0141169761743676,0.215717866623641,0.158804578417861,0.229389459289699,5.01666666666667,1.00500542294975
1,yes,no,25.5,0.022573772659597,0.186849604385295,0.099632662582281,0.212501525880266,4.93333333333333,1.63420168867739
13,yes,no,25.5,0.024194059584898,0.16369175285571,0.077983884810969,0.198954182735459,4.86666666666667,1.77549360945924
3,no,no,25.5,0.0158333588732076,0.268668565737691,0.18119882390538,0.260365618271418,4.76666666666667,1.18631559989068
16,yes,yes,25.5,0.024226436454174,0.162986151520642,0.0859767548724421,0.207108937143312,4.56666666666667,1.89466395627013
10,yes,yes,25.5,0.0216706588497861,0.16597582296541,0.0919370695007032,0.200290363749634,4.56666666666667,1.69478562433155
7,no,yes,25.5,0.0238972258238512,0.203453992786612,0.102728963975781,0.222215093095037,4.51666666666667,1.88960668085276
15,no,yes,25.5,0.0131889298037244,0.246281400411268,0.181324477536839,0.24726912655546,4.46666666666667,1.05455195658777
11,yes,yes,25.5,0.0176159014902028,0.181632814950746,0.121370196610041,0.209449704061055,4.4,1.42986213394503
14,no,yes,25.5,NA,NA,0.199546853318419,NA,4.35,NA
2,no,yes,25.5,0.0141680066107877,0.295135309106567,0.205008630088272,0.27584866314221,4.3,1.17674473511526
4,yes,yes,25.5,0.017194357544707,0.17711312212842,0.12083389603646,0.206805683759994,4.25,1.44490399535353
