bod,CPOM,nutrient,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD
5,no,no,25,0.00519572988323234,0.136352468397921,0.108239301620198,0.13421795103636,5.08333333333333,0.365039570250516
8,no,no,25,0.0076020425153715,0.148537328482289,0.103335881608858,0.141346094185715,5,0.54300303681225
6,yes,no,25,0.00910722312703837,0.0632672616567416,0.0459269894575782,0.0914631050927701,4.91666666666667,0.661541631503998
12,yes,no,25,0.0115084612672234,0.0659195763216065,0.0426542452777969,0.100196551613914,4.76666666666667,0.862272322719034
13,yes,no,25,0.00843939233036475,0.0438274991519747,0.0378938823756577,0.0800908440274814,4.7,0.641291210514039
1,yes,no,25,0.0103905435277434,0.061873820119363,0.0386952241546868,0.0906479417934036,4.66666666666667,0.79519465773546
3,no,no,25,0.00693728048938443,0.151335729056822,0.108296756074895,0.142983158521817,4.58333333333333,0.540567310861124
9,no,no,25,0.00529319562389038,0.137613158059522,0.108489476368945,0.134955454488397,4.51666666666667,0.418544725136298
16,yes,yes,25,0.00937309937687877,0.046647306992119,0.034874934729572,0.0817404316139659,4.4,0.760803520850549
7,no,yes,25,0.0109215456569611,0.172224709274319,0.100595483664247,0.155203211949053,4.33333333333333,0.900127389309977
10,yes,yes,25,0.00962677237245486,0.0598685954795432,0.0413410235168347,0.089474885379109,4.26666666666667,0.805812419569324
11,yes,yes,25,0.0096231187376608,0.0786068281969986,0.0523211578305164,0.10043675151882,4.18333333333333,0.821552538787205
2,no,yes,25,0.00609127575271446,0.146382258362881,0.109628999402289,0.140085378165862,4.16666666666667,0.522109350232668
4,yes,yes,25,0.0121821061953967,0.0689288308169969,0.0338645920745357,0.0947751230515194,4.15,1.04837402714258
14,no,yes,25,0.00647279885955586,0.152589143737183,0.111352411812049,0.143716406109829,4.06666666666667,0.568454232396592
15,no,yes,25,0.00850401253233574,0.17277269831957,0.113003722878846,0.155523785540525,4.05,0.749912921722728
