bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR
13,yes,no,23.8,0.194933561782489,0.202359429957249,-0.00742586817475974,-0.000304755191850605
3,no,no,23.8,0.227820922472395,0.235023776522135,-0.00720285404974039,-0.000297433752914262
8,no,no,23.8,0.233284466124687,0.276752688300963,-0.0434682221762764,-0.00180241418837359
5,no,no,23.8,0.253623017391836,0.249526482322208,0.00409653506962823,0.000170807577607848
1,yes,no,23.8,0.235404630968807,0.221850228141949,0.0135544028268583,0.000567525589400907
9,no,no,23.8,0.23879990707276,0.254453828910335,-0.0156539218375749,-0.000658188724775399
12,yes,no,23.8,0.230391276741149,0.269157955833756,-0.0387666790926073,-0.0016391830483132
6,yes,no,23.8,0.212973206155796,0.215514896876156,-0.00254169072035992,-0.000107927419123564
14,no,yes,23.8,0.248172069489898,0.247061146839872,0.00111092265002569,4.75430520695729e-05
16,yes,yes,23.8,0.2193761695966,0.22961606851058,-0.0102398989139798,-0.000440741703614626
7,no,yes,23.8,0.230240947119567,0.256599654595461,-0.0263587074758944,-0.00113942539521157
4,yes,yes,23.8,0.217461774947401,0.224918712854739,-0.00745693790733828,-0.000323745495253471
10,yes,yes,23.8,0.235632327081735,0.220147912327013,0.0154844147547223,0.000676175316800102
15,no,yes,23.8,0.232549860115026,0.267883500858705,-0.035333640743679,-0.00154858907569082
2,no,yes,23.8,0.23288708056457,0.251220710697477,-0.018333630132907,-0.000807648904533347
11,yes,yes,23.8,0.233806677634619,0.252371393421569,-0.0185647157869501,-0.000822660965448307
