bod,cruc,cruc.mass,cruc.leaf,cruc.ash,leaf,ash.12,prop.OM,AFDM.12,AFDM
1,17,30.5141,30.5527,30.5309,0.0386000000000024,0.0167999999999999,0.564766839378267,0.0218000000000025,0.00181666666666687
4,18,29.4362,29.473,29.4472,0.0367999999999995,0.0109999999999992,0.701086956521756,0.0258000000000003,0.00215000000000002
6,19,28.547,28.5782,28.5577,0.0311999999999983,0.0106999999999999,0.657051282051266,0.0204999999999984,0.0017083333333332
10,20,29.1382,29.1532,29.1441,0.014999999999997,0.00590000000000046,0.606666666666558,0.00909999999999656,0.00101111111111073
11,21,31.0017,31.0313,31.013,0.0296000000000021,0.0113000000000021,0.618243243243199,0.0183,0.001525
12,22,26.9369,26.9732,26.948,0.0362999999999971,0.011099999999999,0.694214876033061,0.0251999999999981,0.00209999999999984
13,23,28.8154,28.853,28.8266,0.0376000000000012,0.0111999999999988,0.70212765957451,0.0264000000000024,0.0022000000000002
16,24,29.3969,29.4262,29.4053,0.0293000000000028,0.00840000000000174,0.713310580204746,0.020900000000001,0.00174166666666675
