lake samp repl depth cerat.count tany.count chiro.count chaob.count cerat tany chiro chaob bugs
WL open A 2 0 25 6 5 0 1111.11111111111 266.666666666667 222.222222222222 1600
WL open B 2 0 14 5 8 0 622.222222222222 222.222222222222 355.555555555556 1200
WL open C 2 5 23 2 15 222.222222222222 1022.22222222222 88.8888888888889 666.666666666667 2000
WL lit A 1.9 4 81 0 11 177.777777777778 3600 0 488.888888888889 4266.66666666667
WL lit B 1.9 7 29 5 16 311.111111111111 1288.88888888889 222.222222222222 711.111111111111 2533.33333333333
WL lit C 1.9 6 117 0 14 266.666666666667 5200 0 622.222222222222 6088.88888888889
LPP open A 1 0 5 14 0 0 222.222222222222 622.222222222222 0 844.444444444445
LPP open B 1 1 3 4 0 44.4444444444444 133.333333333333 177.777777777778 0 355.555555555556
LPP open C 1 0 1 5 0 0 44.4444444444444 222.222222222222 0 266.666666666667
LPP lit A 1.1 2 29 5 0 88.8888888888889 1288.88888888889 222.222222222222 0 1600
LPP lit B 1.1 0 20 6 0 0 888.888888888889 266.666666666667 0 1155.55555555556
LPP lit C 1.1 2 47 41 0 88.8888888888889 2088.88888888889 1822.22222222222 0 4000
