Wavelength (nm),Absorbance,Title,Time
190,0.131,rep_waterO_1jul,7/2/2014 1:50:51 PM
191,0.082,,
192,-0.269,,
193,-0.533,,
194,-0.519,,
195,-0.015,,
196,0.288,,
197,0.245,,
198,0.23,,
199,0.111,,
200,-0.006,,
201,0.026,,
202,0.224,,
203,0.268,,
204,-0.069,,
205,-0.529,,
206,-0.834,,
207,-0.713,,
208,-0.342,,
209,-0.157,,
210,-0.113,,
211,-0.094,,
212,0.179,,
213,0.387,,
214,0.217,,
215,-0.005,,
216,-0.152,,
217,0.027,,
218,0.075,,
219,0.184,,
220,0.189,,
221,0.187,,
222,0.166,,
223,0.167,,
224,0.183,,
225,0.179,,
226,0.18,,
227,0.178,,
228,0.177,,
229,0.177,,
230,0.171,,
231,0.165,,
232,0.157,,
233,0.15,,
234,0.146,,
235,0.143,,
236,0.142,,
237,0.14,,
238,0.137,,
239,0.133,,
240,0.13,,
241,0.128,,
242,0.128,,
243,0.128,,
244,0.124,,
245,0.122,,
246,0.121,,
247,0.122,,
248,0.121,,
249,0.117,,
250,0.114,,
251,0.114,,
252,0.113,,
253,0.113,,
254,0.113,,
255,0.112,,
256,0.109,,
257,0.107,,
258,0.105,,
259,0.105,,
260,0.104,,
261,0.104,,
262,0.103,,
263,0.101,,
264,0.1,,
265,0.099,,
266,0.099,,
267,0.097,,
268,0.095,,
269,0.095,,
270,0.094,,
271,0.093,,
272,0.091,,
273,0.089,,
274,0.087,,
275,0.087,,
276,0.086,,
277,0.086,,
278,0.085,,
279,0.082,,
280,0.08,,
281,0.078,,
282,0.076,,
283,0.075,,
284,0.074,,
285,0.072,,
286,0.071,,
287,0.07,,
288,0.068,,
289,0.067,,
290,0.066,,
291,0.065,,
292,0.065,,
293,0.063,,
294,0.063,,
295,0.062,,
296,0.062,,
297,0.062,,
298,0.06,,
299,0.057,,
300,0.056,,
301,0.054,,
302,0.054,,
303,0.053,,
304,0.052,,
305,0.05,,
306,0.049,,
307,0.049,,
308,0.048,,
309,0.049,,
310,0.048,,
311,0.047,,
312,0.046,,
313,0.045,,
314,0.045,,
315,0.045,,
316,0.043,,
317,0.042,,
318,0.041,,
319,0.041,,
320,0.04,,
321,0.039,,
322,0.038,,
323,0.037,,
324,0.036,,
325,0.036,,
326,0.035,,
327,0.034,,
328,0.035,,
329,0.035,,
330,0.035,,
331,0.034,,
332,0.033,,
333,0.032,,
334,0.031,,
335,0.03,,
336,0.03,,
337,0.03,,
338,0.03,,
339,0.029,,
340,0.029,,
341,0.028,,
342,0.027,,
343,0.027,,
344,0.025,,
345,0.025,,
346,0.025,,
347,0.025,,
348,0.026,,
349,0.025,,
350,0.024,,
351,0.023,,
352,0.022,,
353,0.021,,
354,0.021,,
355,0.021,,
356,0.021,,
357,0.021,,
358,0.02,,
359,0.021,,
360,0.019,,
361,0.019,,
362,0.019,,
363,0.019,,
364,0.018,,
365,0.018,,
366,0.017,,
367,0.017,,
368,0.017,,
369,0.017,,
370,0.017,,
371,0.016,,
372,0.015,,
373,0.015,,
374,0.014,,
375,0.014,,
376,0.014,,
377,0.014,,
378,0.014,,
379,0.014,,
380,0.013,,
381,0.014,,
382,0.013,,
383,0.012,,
384,0.012,,
385,0.013,,
386,0.012,,
387,0.011,,
388,0.01,,
389,0.011,,
390,0.011,,
391,0.01,,
392,0.01,,
393,0.011,,
394,0.011,,
395,0.01,,
396,0.009,,
397,0.009,,
398,0.009,,
399,0.009,,
400,0.009,,
401,0.009,,
402,0.009,,
403,0.008,,
404,0.007,,
405,0.007,,
406,0.007,,
407,0.007,,
408,0.007,,
409,0.008,,
410,0.008,,
411,0.007,,
412,0.006,,
413,0.007,,
414,0.007,,
415,0.007,,
416,0.006,,
417,0.006,,
418,0.007,,
419,0.006,,
420,0.005,,
421,0.005,,
422,0.006,,
423,0.006,,
424,0.006,,
425,0.005,,
426,0.005,,
427,0.005,,
428,0.004,,
429,0.004,,
430,0.005,,
431,0.005,,
432,0.004,,
433,0.003,,
434,0.003,,
435,0.004,,
436,0.005,,
437,0.005,,
438,0.006,,
439,0.004,,
440,0.005,,
441,0.004,,
442,0.004,,
443,0.003,,
444,0.003,,
445,0.004,,
446,0.004,,
447,0.003,,
448,0.003,,
449,0.003,,
450,0.003,,
451,0.003,,
452,0.002,,
453,0.003,,
454,0.002,,
455,0.002,,
456,0.001,,
457,0.001,,
458,0.002,,
459,0.003,,
460,0.003,,
461,0.002,,
462,0.002,,
463,0.002,,
464,0.002,,
465,0.001,,
466,0.001,,
467,0.001,,
468,0.002,,
469,0.001,,
470,0.001,,
471,0.001,,
472,0.001,,
473,0.001,,
474,0.001,,
475,0.001,,
476,0.001,,
477,0.001,,
478,0.001,,
479,0.001,,
480,0.002,,
481,0.002,,
482,0.002,,
483,0.002,,
484,0.001,,
485,0.002,,
486,0.002,,
487,0.002,,
488,0.001,,
489,0.001,,
490,0.002,,
491,0.002,,
492,0.002,,
493,0.002,,
494,0.001,,
495,0.001,,
496,0.001,,
497,0.001,,
498,0,,
499,0,,
500,0.001,,
501,0.001,,
502,0.001,,
503,0.001,,
504,0.001,,
505,0,,
506,-0.001,,
507,-0.001,,
508,0,,
509,0.002,,
510,0.002,,
511,0.002,,
512,0.001,,
513,0,,
514,0.001,,
515,0.001,,
516,0,,
517,0,,
518,0,,
519,0,,
520,0.001,,
521,0.001,,
522,0.001,,
523,-0.002,,
524,-0.002,,
525,-0.001,,
526,0,,
527,0,,
528,0.001,,
529,0.002,,
530,0.001,,
531,0,,
532,0,,
533,-0.001,,
534,0,,
535,0.001,,
536,0.001,,
537,0.001,,
538,0.001,,
539,0.002,,
540,0,,
541,-0.001,,
542,0,,
543,0.001,,
544,0.002,,
545,0.001,,
546,0,,
547,0,,
548,0,,
549,0.001,,
550,0.001,,
551,0.001,,
552,-0.001,,
553,-0.002,,
554,-0.002,,
555,-0.002,,
556,-0.002,,
557,-0.001,,
558,-0.001,,
559,-0.002,,
560,-0.002,,
561,-0.001,,
562,0.001,,
563,0,,
564,0,,
565,-0.001,,
566,0,,
567,-0.001,,
568,-0.001,,
569,0,,
570,0,,
571,0,,
572,-0.001,,
573,-0.002,,
574,-0.001,,
575,0,,
576,0,,
577,0,,
578,0,,
579,0.001,,
580,0,,
581,-0.001,,
582,0,,
583,0.001,,
584,0,,
585,-0.001,,
586,-0.003,,
587,-0.001,,
588,-0.001,,
589,0,,
590,0.001,,
591,0.001,,
592,0,,
593,-0.001,,
594,-0.001,,
595,0,,
596,0.001,,
597,0.002,,
598,0.003,,
599,0.002,,
600,0,,
601,-0.001,,
602,-0.001,,
603,-0.002,,
604,0,,
605,0,,
606,0,,
607,-0.001,,
608,-0.002,,
609,-0.001,,
610,-0.001,,
611,-0.001,,
612,-0.001,,
613,-0.002,,
614,-0.001,,
615,-0.001,,
616,-0.001,,
617,-0.001,,
618,-0.001,,
619,-0.001,,
620,-0.001,,
621,-0.001,,
622,-0.001,,
623,-0.002,,
624,-0.001,,
625,0.001,,
626,0.001,,
627,0,,
628,-0.002,,
629,-0.003,,
630,-0.002,,
631,-0.001,,
632,0,,
633,0,,
634,-0.002,,
