Wavelength (nm),Absorbance,Title,Time
190,0.228,bod8_1jul,7/2/2014 1:38:35 PM
191,0.241,,
192,-0.053,,
193,-0.554,,
194,-0.718,,
195,-0.486,,
196,-0.052,,
197,0.056,,
198,-0.206,,
199,-0.319,,
200,-0.51,,
201,-0.369,,
202,-0.032,,
203,0.005,,
204,0.202,,
205,-0.106,,
206,-0.333,,
207,-0.478,,
208,-0.464,,
209,-0.34,,
210,-0.226,,
211,-0.145,,
212,-0.066,,
213,-0.04,,
214,-0.07,,
215,-0.105,,
216,-0.019,,
217,0.036,,
218,0.029,,
219,0.117,,
220,0.165,,
221,0.177,,
222,0.164,,
223,0.174,,
224,0.188,,
225,0.193,,
226,0.19,,
227,0.187,,
228,0.185,,
229,0.189,,
230,0.186,,
231,0.18,,
232,0.176,,
233,0.171,,
234,0.171,,
235,0.17,,
236,0.167,,
237,0.165,,
238,0.162,,
239,0.158,,
240,0.155,,
241,0.154,,
242,0.155,,
243,0.156,,
244,0.154,,
245,0.152,,
246,0.151,,
247,0.151,,
248,0.149,,
249,0.146,,
250,0.145,,
251,0.145,,
252,0.143,,
253,0.141,,
254,0.142,,
255,0.141,,
256,0.14,,
257,0.137,,
258,0.135,,
259,0.136,,
260,0.134,,
261,0.135,,
262,0.134,,
263,0.132,,
264,0.131,,
265,0.131,,
266,0.129,,
267,0.127,,
268,0.125,,
269,0.124,,
270,0.124,,
271,0.122,,
272,0.121,,
273,0.12,,
274,0.118,,
275,0.118,,
276,0.116,,
277,0.116,,
278,0.114,,
279,0.113,,
280,0.111,,
281,0.109,,
282,0.107,,
283,0.106,,
284,0.104,,
285,0.103,,
286,0.102,,
287,0.101,,
288,0.1,,
289,0.098,,
290,0.096,,
291,0.096,,
292,0.096,,
293,0.094,,
294,0.093,,
295,0.092,,
296,0.093,,
297,0.092,,
298,0.091,,
299,0.088,,
300,0.086,,
301,0.086,,
302,0.085,,
303,0.084,,
304,0.082,,
305,0.081,,
306,0.08,,
307,0.08,,
308,0.079,,
309,0.079,,
310,0.078,,
311,0.078,,
312,0.076,,
313,0.075,,
314,0.074,,
315,0.074,,
316,0.073,,
317,0.072,,
318,0.072,,
319,0.071,,
320,0.071,,
321,0.07,,
322,0.068,,
323,0.066,,
324,0.065,,
325,0.065,,
326,0.065,,
327,0.064,,
328,0.064,,
329,0.064,,
330,0.064,,
331,0.063,,
332,0.062,,
333,0.062,,
334,0.061,,
335,0.059,,
336,0.059,,
337,0.058,,
338,0.058,,
339,0.058,,
340,0.057,,
341,0.056,,
342,0.056,,
343,0.055,,
344,0.054,,
345,0.052,,
346,0.053,,
347,0.054,,
348,0.054,,
349,0.052,,
350,0.051,,
351,0.05,,
352,0.049,,
353,0.048,,
354,0.048,,
355,0.047,,
356,0.048,,
357,0.047,,
358,0.047,,
359,0.047,,
360,0.046,,
361,0.045,,
362,0.044,,
363,0.043,,
364,0.043,,
365,0.042,,
366,0.041,,
367,0.042,,
368,0.042,,
369,0.042,,
370,0.042,,
371,0.04,,
372,0.04,,
373,0.039,,
374,0.039,,
375,0.038,,
376,0.038,,
377,0.037,,
378,0.036,,
379,0.037,,
380,0.036,,
381,0.036,,
382,0.035,,
383,0.033,,
384,0.032,,
385,0.032,,
386,0.032,,
387,0.032,,
388,0.032,,
389,0.032,,
390,0.032,,
391,0.032,,
392,0.032,,
393,0.032,,
394,0.032,,
395,0.03,,
396,0.029,,
397,0.027,,
398,0.026,,
399,0.026,,
400,0.026,,
401,0.026,,
402,0.027,,
403,0.027,,
404,0.026,,
405,0.026,,
406,0.025,,
407,0.026,,
408,0.026,,
409,0.026,,
410,0.026,,
411,0.025,,
412,0.024,,
413,0.024,,
414,0.024,,
415,0.025,,
416,0.023,,
417,0.023,,
418,0.023,,
419,0.022,,
420,0.021,,
421,0.02,,
422,0.02,,
423,0.021,,
424,0.021,,
425,0.02,,
426,0.02,,
427,0.02,,
428,0.019,,
429,0.018,,
430,0.019,,
431,0.019,,
432,0.018,,
433,0.017,,
434,0.017,,
435,0.018,,
436,0.019,,
437,0.018,,
438,0.018,,
439,0.017,,
440,0.017,,
441,0.017,,
442,0.016,,
443,0.016,,
444,0.016,,
445,0.016,,
446,0.016,,
447,0.015,,
448,0.015,,
449,0.015,,
450,0.014,,
451,0.014,,
452,0.013,,
453,0.014,,
454,0.013,,
455,0.013,,
