Wavelength (nm),Absorbance,Title,Time
190,0.602,bod6_1jul,7/2/2014 1:35:53 PM
191,0.645,,
192,0.271,,
193,-0.36,,
194,-0.671,,
195,-0.226,,
196,0.119,,
197,0.029,,
198,-0.279,,
199,-0.41,,
200,-0.143,,
201,0.119,,
202,0.11,,
203,-0.035,,
204,-0.33,,
205,-0.63,,
206,-0.735,,
207,-0.814,,
208,-0.559,,
209,-0.397,,
210,-0.2,,
211,-0.092,,
212,0.053,,
213,0.205,,
214,0.022,,
215,-0.083,,
216,-0.118,,
217,0.038,,
218,0.2,,
219,0.252,,
220,0.257,,
221,0.226,,
222,0.196,,
223,0.201,,
224,0.219,,
225,0.225,,
226,0.223,,
227,0.221,,
228,0.221,,
229,0.222,,
230,0.218,,
231,0.212,,
232,0.207,,
233,0.199,,
234,0.195,,
235,0.192,,
236,0.191,,
237,0.188,,
238,0.184,,
239,0.181,,
240,0.179,,
241,0.178,,
242,0.178,,
243,0.179,,
244,0.175,,
245,0.174,,
246,0.173,,
247,0.173,,
248,0.171,,
249,0.167,,
250,0.165,,
251,0.164,,
252,0.163,,
253,0.162,,
254,0.161,,
255,0.159,,
256,0.157,,
257,0.156,,
258,0.156,,
259,0.156,,
260,0.154,,
261,0.153,,
262,0.152,,
263,0.151,,
264,0.15,,
265,0.149,,
266,0.147,,
267,0.145,,
268,0.143,,
269,0.143,,
270,0.142,,
271,0.141,,
272,0.139,,
273,0.137,,
274,0.135,,
275,0.135,,
276,0.134,,
277,0.133,,
278,0.132,,
279,0.129,,
280,0.127,,
281,0.125,,
282,0.123,,
283,0.122,,
284,0.12,,
285,0.118,,
286,0.116,,
287,0.115,,
288,0.114,,
289,0.112,,
290,0.111,,
291,0.11,,
292,0.109,,
293,0.108,,
294,0.106,,
295,0.105,,
296,0.105,,
297,0.104,,
298,0.102,,
299,0.1,,
300,0.098,,
301,0.097,,
302,0.097,,
303,0.096,,
304,0.094,,
305,0.092,,
306,0.091,,
307,0.091,,
308,0.09,,
309,0.09,,
310,0.089,,
311,0.087,,
312,0.086,,
313,0.085,,
314,0.085,,
315,0.084,,
316,0.083,,
317,0.081,,
318,0.08,,
319,0.08,,
320,0.079,,
321,0.077,,
322,0.075,,
323,0.074,,
324,0.074,,
325,0.074,,
326,0.074,,
327,0.072,,
328,0.072,,
329,0.071,,
330,0.071,,
331,0.07,,
332,0.069,,
333,0.069,,
334,0.068,,
335,0.067,,
336,0.066,,
337,0.065,,
338,0.064,,
339,0.064,,
340,0.063,,
341,0.062,,
342,0.061,,
