Wavelength (nm),Absorbance,Title,Time
585,0.001,,
586,0,,
587,0.001,,
588,0.001,,
589,0.001,,
590,0.001,,
591,0.001,,
592,0.001,,
593,-0.001,,
594,0,,
595,0.001,,
596,0.002,,
597,0.004,,
598,0.004,,
599,0.004,,
600,0.002,,
601,0,,
602,0,,
603,-0.001,,
604,0.001,,
605,0.001,,
606,0.002,,
607,0.001,,
608,0.001,,
609,0.001,,
610,0.001,,
611,0.001,,
612,0.002,,
613,0,,
614,-0.001,,
615,0.001,,
616,0.003,,
617,0.002,,
618,0.001,,
619,0.001,,
620,0,,
621,0.001,,
622,0.001,,
623,0.002,,
624,0.001,,
625,0.001,,
626,0.002,,
627,0.001,,
628,0,,
629,-0.001,,
630,0,,
631,0.001,,
632,0.002,,
633,0.001,,
634,0,,
635,0,,
636,0,,
637,-0.001,,
638,0,,
639,0.001,,
640,0.001,,
641,0,,
642,0,,
643,0.001,,
644,0.001,,
645,0.001,,
646,0,,
647,0,,
648,0,,
649,0.001,,
650,0.001,,
651,0,,
652,-0.002,,
653,-0.002,,
654,-0.002,,
655,0.001,,
656,0.002,,
657,0.003,,
658,0,,
659,-0.002,,
660,-0.001,,
661,0,,
662,0.002,,
663,0.001,,
664,0,,
665,0,,
666,0.001,,
667,0.001,,
668,0.002,,
669,0.002,,
670,0.001,,
671,-0.002,,
672,-0.002,,
673,0.001,,
674,0.003,,
675,0.002,,
676,0.002,,
677,0.002,,
678,0.002,,
679,0,,
680,0,,
681,0.001,,
682,0.001,,
683,0,,
684,-0.001,,
685,0.001,,
686,0.002,,
687,0.002,,
688,0.001,,
689,0,,
690,0.001,,
691,0.001,,
692,0.001,,
693,0,,
694,-0.002,,
695,-0.001,,
696,-0.001,,
697,0,,
698,0.001,,
699,0.002,,
700,0.001,,
701,-0.001,,
702,-0.002,,
703,0,,
704,0.001,,
705,0.001,,
706,0.002,,
707,0.001,,
708,0.001,,
709,-0.002,,
710,-0.001,,
711,0.001,,
712,0.002,,
713,0.001,,
714,0.001,,
715,0,,
716,0,,
717,0,,
718,0.001,,
719,0.001,,
720,0.001,,
721,-0.001,,
722,0,,
723,-0.001,,
724,0,,
725,-0.001,,
726,-0.002,,
727,-0.002,,
728,-0.001,,
729,0.001,,
730,0.001,,
731,0.001,,
732,-0.001,,
733,0,,
734,0.001,,
735,0.001,,
736,0,,
737,0.002,,
738,0.002,,
739,0,,
740,-0.001,,
741,0,,
742,0,,
743,-0.002,,
744,-0.001,,
745,0,,
746,0.001,,
747,-0.004,,
748,-0.005,,
749,-0.002,,
750,0,,
751,0.001,,
752,0.001,,
753,0,,
754,-0.004,,
755,-0.003,,
756,0,,
757,0.003,,
758,0.002,,
759,0.001,,
760,0.001,,
761,0.001,,
762,0.001,,
763,0.001,,
764,0,,
765,0.001,,
766,0.003,,
767,0.003,,
768,0.003,,
769,0,,
770,0.001,,
771,0.002,,
772,0.001,,
773,0,,
774,-0.001,,
775,0,,
776,0,,
777,0.002,,
778,0.002,,
779,0,,
780,-0.002,,
781,-0.003,,
782,0,,
783,0,,
784,-0.001,,
785,-0.003,,
786,-0.004,,
787,-0.004,,
788,-0.005,,
789,-0.003,,
790,0.002,,
791,0.005,,
792,0,,
793,-0.003,,
794,-0.002,,
795,-0.002,,
796,-0.001,,
797,0.001,,
798,0.004,,
799,0.001,,
800,0.002,,
801,0,,
802,0.002,,
803,0.002,,
804,0.003,,
805,0.003,,
806,-0.001,,
807,-0.006,,
808,-0.005,,
809,-0.005,,
810,-0.008,,
811,-0.004,,
812,-0.001,,
813,0.001,,
814,0.002,,
815,0.005,,
816,0.002,,
817,0.002,,
818,0,,
819,0.002,,
820,-0.001,,
821,-0.001,,
822,0,,
823,0.003,,
824,0,,
825,0,,
826,0.004,,
827,0.005,,
828,0.004,,
829,0.006,,
830,0.006,,
831,0.002,,
832,-0.004,,
833,-0.003,,
834,-0.002,,
835,0.004,,
836,0.004,,
837,0.004,,
838,0,,
839,0,,
840,0.004,,
