Wavelength (nm),Absorbance,Title,Time
190,0.131,bod11_1jul,7/2/2014 1:42:38 PM
191,0.145,,
192,-0.041,,
193,-0.436,,
194,-0.484,,
195,-0.071,,
196,0.196,,
197,0.158,,
198,-0.131,,
199,-0.257,,
200,-0.17,,
201,-0.142,,
202,-0.057,,
203,-0.14,,
204,-0.285,,
205,-0.484,,
206,-0.588,,
207,-0.744,,
208,-0.462,,
209,-0.139,,
210,0.087,,
211,0.171,,
212,0.06,,
213,0.08,,
214,-0.052,,
215,-0.014,,
216,-0.043,,
217,0.022,,
218,0.058,,
219,0.155,,
220,0.19,,
221,0.194,,
222,0.171,,
223,0.176,,
224,0.187,,
225,0.184,,
226,0.18,,
227,0.183,,
228,0.185,,
229,0.186,,
230,0.179,,
231,0.172,,
232,0.165,,
233,0.16,,
234,0.16,,
235,0.158,,
236,0.157,,
237,0.153,,
238,0.15,,
239,0.147,,
240,0.145,,
241,0.144,,
242,0.143,,
243,0.142,,
244,0.14,,
245,0.139,,
246,0.138,,
247,0.139,,
248,0.137,,
249,0.134,,
250,0.132,,
251,0.131,,
252,0.131,,
253,0.13,,
254,0.13,,
255,0.128,,
256,0.126,,
257,0.124,,
258,0.122,,
259,0.122,,
260,0.122,,
261,0.121,,
262,0.12,,
263,0.118,,
264,0.117,,
265,0.117,,
266,0.115,,
267,0.114,,
268,0.112,,
269,0.111,,
270,0.11,,
271,0.109,,
272,0.107,,
273,0.105,,
274,0.104,,
275,0.104,,
276,0.103,,
277,0.101,,
278,0.1,,
279,0.098,,
280,0.097,,
281,0.094,,
282,0.093,,
283,0.092,,
284,0.09,,
285,0.089,,
286,0.088,,
287,0.087,,
288,0.085,,
289,0.083,,
290,0.082,,
291,0.081,,
292,0.081,,
293,0.08,,
294,0.079,,
295,0.078,,
296,0.078,,
297,0.077,,
298,0.076,,
299,0.073,,
300,0.071,,
301,0.071,,
302,0.07,,
303,0.069,,
304,0.067,,
305,0.066,,
306,0.065,,
307,0.064,,
308,0.064,,
309,0.064,,
310,0.063,,
311,0.062,,
312,0.06,,
313,0.059,,
314,0.06,,
315,0.059,,
316,0.058,,
317,0.056,,
318,0.055,,
319,0.055,,
320,0.055,,
321,0.054,,
322,0.053,,
323,0.051,,
324,0.05,,
325,0.051,,
326,0.05,,
327,0.049,,
328,0.049,,
329,0.048,,
330,0.048,,
331,0.047,,
332,0.046,,
333,0.045,,
334,0.045,,
335,0.043,,
336,0.043,,
337,0.042,,
338,0.042,,
339,0.042,,
340,0.041,,
341,0.041,,
342,0.04,,
343,0.039,,
344,0.038,,
345,0.037,,
346,0.038,,
347,0.038,,
348,0.038,,
349,0.037,,
350,0.035,,
351,0.035,,
352,0.034,,
353,0.033,,
354,0.033,,
355,0.033,,
356,0.032,,
357,0.032,,
358,0.032,,
359,0.033,,
360,0.031,,
361,0.03,,
362,0.029,,
363,0.029,,
364,0.028,,
365,0.028,,
366,0.028,,
367,0.028,,
368,0.028,,
369,0.027,,
370,0.027,,
371,0.026,,
372,0.026,,
373,0.026,,
374,0.025,,
375,0.024,,
376,0.024,,
377,0.024,,
378,0.024,,
379,0.023,,
380,0.022,,
381,0.022,,
382,0.021,,
383,0.02,,
384,0.02,,
385,0.02,,
386,0.02,,
387,0.02,,
388,0.019,,
389,0.019,,
390,0.019,,
391,0.019,,
392,0.019,,
393,0.019,,
394,0.019,,
395,0.018,,
396,0.017,,
397,0.016,,
398,0.016,,
399,0.016,,
400,0.016,,
401,0.016,,
402,0.016,,
403,0.016,,
404,0.015,,
405,0.014,,
406,0.014,,
407,0.015,,
408,0.015,,
409,0.015,,
410,0.015,,
411,0.014,,
412,0.014,,
413,0.014,,
414,0.014,,
415,0.014,,
416,0.013,,
417,0.012,,
418,0.012,,
419,0.012,,
420,0.011,,
421,0.011,,
422,0.011,,
423,0.012,,
424,0.011,,
425,0.011,,
426,0.011,,
427,0.011,,
428,0.01,,
429,0.01,,
430,0.01,,
431,0.01,,
432,0.009,,
433,0.009,,
434,0.009,,
435,0.01,,
436,0.01,,
437,0.01,,
438,0.01,,
439,0.009,,
440,0.009,,
441,0.009,,
442,0.009,,
443,0.008,,
444,0.008,,
445,0.008,,
446,0.008,,
447,0.008,,
448,0.008,,
449,0.008,,
450,0.007,,
451,0.006,,
452,0.006,,
453,0.007,,
454,0.007,,
455,0.006,,
456,0.006,,
457,0.005,,
458,0.006,,
459,0.007,,
460,0.007,,
461,0.006,,
462,0.006,,
463,0.006,,
464,0.006,,
465,0.005,,
466,0.005,,
467,0.005,,
468,0.005,,
469,0.005,,
470,0.005,,
471,0.005,,
472,0.005,,
473,0.004,,
474,0.004,,
475,0.005,,
476,0.005,,
477,0.005,,
478,0.005,,
479,0.005,,
480,0.005,,
481,0.005,,
482,0.005,,
483,0.005,,
484,0.005,,
485,0.005,,
486,0.005,,
487,0.005,,
488,0.004,,
489,0.004,,
490,0.004,,
491,0.005,,
492,0.005,,
493,0.004,,
494,0.003,,
495,0.003,,
496,0.003,,
497,0.003,,
498,0.003,,
499,0.002,,
500,0.004,,
501,0.004,,
502,0.004,,
503,0.004,,
504,0.003,,
505,0.002,,
506,0.001,,
507,0.001,,
508,0.003,,
509,0.004,,
510,0.005,,
511,0.006,,
512,0.004,,
513,0.003,,
514,0.004,,
515,0.004,,
516,0.003,,
517,0.002,,
518,0.002,,
519,0.003,,
520,0.004,,
521,0.004,,
522,0.003,,
523,0.001,,
524,0,,
525,0.001,,
526,0.002,,
527,0.002,,
528,0.003,,
529,0.004,,
530,0.003,,
531,0.002,,
532,0.002,,
533,0.002,,
534,0.002,,
535,0.002,,
536,0.002,,
537,0.003,,
538,0.004,,
539,0.003,,
540,0.001,,
541,0.001,,
542,0.002,,
543,0.003,,
544,0.004,,
545,0.003,,
546,0.002,,
547,0.002,,
548,0.002,,
549,0.003,,
550,0.002,,
551,0.002,,
552,0.001,,
553,0,,
554,-0.001,,
555,0,,
556,0.001,,
557,0.001,,
558,0,,
559,0,,
560,0.002,,
561,0.002,,
562,0.002,,
563,0.001,,
564,0.001,,
565,0.001,,
566,0.001,,
567,0.001,,
568,0,,
569,0.001,,
570,0.001,,
571,0.001,,
572,0,,
573,0,,
574,0.002,,
575,0.002,,
576,0.002,,
577,0.001,,
578,0.001,,
579,0.002,,
580,0.002,,
581,0,,
582,0.001,,
583,0.002,,
584,0.002,,
585,0.001,,
586,0,,
587,0.001,,
588,0,,
589,0,,
590,0.001,,
591,0.002,,
592,0.002,,
593,0,,
594,0,,
595,0.001,,
596,0.002,,
597,0.004,,
598,0.004,,
599,0.003,,
600,0.001,,
601,-0.001,,
602,-0.001,,
603,-0.002,,
604,0,,
605,0.001,,
606,0.002,,
607,0.001,,
608,0.001,,
609,0,,
610,0,,
611,0,,
612,0.001,,
613,0,,
614,-0.001,,
615,0,,
616,0.001,,
617,0,,
618,0,,
619,-0.001,,
620,-0.001,,
621,0.001,,
622,0.001,,
623,0,,
624,0,,
625,0.001,,
626,0.001,,
627,0.001,,
628,0,,
629,-0.002,,
630,-0.001,,
631,0,,
632,0.001,,
633,0.001,,
634,0,,
635,-0.001,,
636,-0.001,,
637,-0.001,,
638,-0.001,,
639,0,,
640,0.001,,
641,0,,
642,0.001,,
643,0.002,,
644,0.002,,
645,0,,
646,-0.001,,
647,0,,
648,-0.001,,
649,0,,
650,0,,
651,0,,
652,-0.002,,
653,-0.002,,
654,-0.002,,
655,0,,
656,0.001,,
657,0.001,,
658,-0.001,,
659,-0.003,,
660,-0.002,,
661,-0.002,,
662,0.001,,
663,0,,
664,0,,
665,0,,
666,0,,
667,0.001,,
668,0,,
669,0.001,,
670,-0.001,,
671,-0.002,,
672,-0.003,,
673,0,,
674,0.001,,
675,0.001,,
676,0.001,,
677,0.001,,
678,0,,
679,-0.002,,
680,-0.002,,
681,0,,
682,0,,
683,-0.001,,
684,-0.001,,
685,0.001,,
686,0.002,,
687,0.002,,
688,0,,
689,0,,
690,-0.001,,
691,0,,
692,0.001,,
693,0,,
694,-0.003,,
695,-0.003,,
696,-0.003,,
697,-0.002,,
698,0,,
699,0.001,,
700,0,,
701,-0.002,,
702,-0.002,,
703,-0.001,,
704,0,,
705,-0.001,,
706,0,,
707,-0.001,,
708,0.001,,
709,-0.001,,
710,-0.001,,
711,0.001,,
712,0.002,,
713,0,,
714,-0.001,,
715,-0.003,,
716,-0.002,,
717,-0.002,,
718,-0.001,,
719,0.001,,
720,0.001,,
721,0.001,,
722,0,,
723,-0.002,,
724,-0.002,,
725,-0.002,,
726,-0.002,,
727,-0.002,,
728,-0.001,,
729,0,,
730,-0.001,,
731,-0.001,,
732,-0.003,,
733,-0.002,,
734,-0.001,,
735,0,,
736,-0.002,,
737,0,,
738,-0.001,,
739,-0.001,,
740,-0.001,,
741,0,,
742,-0.001,,
743,-0.004,,
744,-0.003,,
745,-0.002,,
746,0,,
747,-0.001,,
748,-0.001,,
749,0,,
750,0,,
751,-0.001,,
752,-0.001,,
753,-0.002,,
754,-0.004,,
755,-0.003,,
756,-0.001,,
757,0.002,,
758,0.001,,
759,-0.001,,
760,0,,
761,0,,
762,0,,
763,0,,
764,0,,
765,0,,
766,0.002,,
767,0.003,,
768,0.002,,
769,0,,
770,0.001,,
771,0.001,,
772,0.002,,
773,0.001,,
774,-0.001,,
775,-0.002,,
776,-0.001,,
777,0.001,,
778,0.003,,
779,-0.001,,
780,-0.003,,
781,-0.004,,
782,-0.002,,
783,-0.004,,
784,-0.004,,
785,-0.004,,
786,-0.005,,
787,-0.006,,
788,-0.004,,
789,0.001,,
790,0.004,,
791,0.002,,
792,-0.002,,
793,0,,
794,0,,
795,0.001,,
796,0,,
797,0.004,,
798,0.008,,
799,0.005,,
800,0,,
801,-0.004,,
802,0.001,,
803,0.004,,
804,0.005,,
805,0,,
806,-0.003,,
807,-0.006,,
808,-0.003,,
809,-0.006,,
810,-0.009,,
811,-0.008,,
812,-0.003,,
813,0,,
