Wavelength (nm),Absorbance,Title,Time
190,0.165,bod13_1jul,7/2/2014 1:45:34 PM
191,0.154,,
192,-0.024,,
193,-0.342,,
194,-0.517,,
195,-0.293,,
196,-0.155,,
197,-0.121,,
198,-0.294,,
199,-0.271,,
200,-0.33,,
201,-0.186,,
202,0.015,,
203,-0.215,,
204,-0.427,,
205,-0.943,,
206,-0.781,,
207,-0.702,,
208,-0.369,,
209,-0.157,,
210,-0.039,,
211,-0.017,,
212,0.147,,
213,0.272,,
214,0.091,,
215,-0.03,,
216,-0.194,,
217,0.041,,
218,0.148,,
219,0.209,,
220,0.218,,
221,0.206,,
222,0.169,,
223,0.166,,
224,0.18,,
225,0.183,,
226,0.184,,
227,0.186,,
228,0.188,,
229,0.188,,
230,0.182,,
231,0.177,,
232,0.171,,
233,0.166,,
234,0.164,,
235,0.162,,
236,0.164,,
237,0.161,,
238,0.159,,
239,0.154,,
240,0.15,,
241,0.15,,
242,0.149,,
243,0.15,,
244,0.146,,
245,0.144,,
246,0.143,,
247,0.143,,
248,0.144,,
249,0.142,,
250,0.139,,
251,0.137,,
252,0.135,,
253,0.134,,
254,0.134,,
255,0.132,,
256,0.13,,
257,0.13,,
258,0.129,,
259,0.129,,
260,0.128,,
261,0.127,,
262,0.126,,
263,0.124,,
264,0.123,,
265,0.122,,
266,0.121,,
267,0.119,,
268,0.118,,
269,0.117,,
270,0.116,,
271,0.114,,
272,0.113,,
273,0.11,,
274,0.108,,
275,0.108,,
276,0.107,,
277,0.107,,
278,0.105,,
279,0.103,,
280,0.102,,
281,0.099,,
282,0.098,,
283,0.096,,
284,0.095,,
285,0.093,,
286,0.092,,
287,0.091,,
288,0.09,,
289,0.089,,
290,0.087,,
291,0.087,,
292,0.085,,
293,0.084,,
294,0.082,,
295,0.082,,
296,0.082,,
297,0.081,,
298,0.08,,
299,0.077,,
300,0.075,,
301,0.074,,
302,0.074,,
303,0.073,,
304,0.071,,
305,0.069,,
306,0.068,,
307,0.068,,
308,0.067,,
309,0.067,,
310,0.066,,
311,0.065,,
312,0.064,,
313,0.063,,
314,0.063,,
315,0.062,,
316,0.061,,
317,0.059,,
318,0.059,,
319,0.059,,
320,0.058,,
321,0.056,,
322,0.055,,
323,0.054,,
324,0.054,,
325,0.053,,
326,0.053,,
327,0.051,,
328,0.051,,
329,0.052,,
330,0.052,,
331,0.051,,
332,0.049,,
333,0.049,,
334,0.048,,
335,0.047,,
336,0.046,,
337,0.045,,
338,0.045,,
339,0.044,,
340,0.044,,
341,0.043,,
342,0.042,,
343,0.041,,
344,0.041,,
345,0.04,,
346,0.04,,
347,0.041,,
348,0.041,,
349,0.04,,
350,0.039,,
351,0.037,,
352,0.036,,
353,0.035,,
354,0.034,,
355,0.034,,
356,0.035,,
357,0.034,,
358,0.034,,
359,0.034,,
360,0.033,,
361,0.032,,
362,0.032,,
363,0.031,,
364,0.031,,
365,0.029,,
366,0.029,,
367,0.029,,
368,0.029,,
369,0.029,,
370,0.028,,
371,0.028,,
372,0.028,,
373,0.027,,
374,0.027,,
375,0.026,,
376,0.026,,
377,0.026,,
378,0.025,,
379,0.025,,
380,0.024,,
381,0.025,,
382,0.024,,
383,0.022,,
384,0.022,,
385,0.022,,
386,0.022,,
387,0.021,,
388,0.021,,
389,0.022,,
390,0.021,,
391,0.02,,
392,0.02,,
393,0.021,,
394,0.021,,
395,0.02,,
396,0.019,,
397,0.018,,
398,0.018,,
399,0.018,,
400,0.018,,
401,0.018,,
402,0.017,,
403,0.017,,
404,0.017,,
405,0.016,,
406,0.016,,
407,0.016,,
408,0.016,,
409,0.016,,
410,0.016,,
411,0.016,,
412,0.015,,
413,0.016,,
414,0.016,,
415,0.016,,
416,0.016,,
417,0.015,,
418,0.015,,
419,0.014,,
420,0.013,,
421,0.013,,
422,0.013,,
423,0.014,,
424,0.013,,
425,0.013,,
426,0.013,,
427,0.013,,
428,0.012,,
429,0.011,,
430,0.012,,
431,0.012,,
432,0.011,,
433,0.01,,
434,0.009,,
435,0.011,,
436,0.011,,
437,0.012,,
438,0.012,,
439,0.011,,
440,0.011,,
441,0.011,,
442,0.01,,
443,0.01,,
444,0.01,,
445,0.01,,
446,0.01,,
447,0.009,,
448,0.009,,
449,0.009,,
450,0.009,,
451,0.009,,
452,0.008,,
453,0.008,,
454,0.008,,
455,0.008,,
456,0.007,,
457,0.007,,
458,0.007,,
459,0.008,,
460,0.008,,
461,0.008,,
462,0.007,,
463,0.008,,
464,0.008,,
465,0.008,,
466,0.007,,
467,0.007,,
468,0.008,,
469,0.007,,
470,0.007,,
471,0.006,,
472,0.007,,
473,0.006,,
474,0.006,,
475,0.006,,
476,0.006,,
477,0.006,,
478,0.006,,
479,0.006,,
480,0.006,,
481,0.006,,
482,0.006,,
483,0.006,,
484,0.006,,
485,0.007,,
486,0.007,,
487,0.007,,
488,0.006,,
489,0.006,,
490,0.006,,
491,0.007,,
492,0.007,,
493,0.007,,
494,0.005,,
495,0.005,,
496,0.006,,
497,0.006,,
498,0.005,,
499,0.004,,
500,0.005,,
501,0.005,,
502,0.005,,
503,0.006,,
504,0.005,,
505,0.005,,
506,0.003,,
507,0.003,,
508,0.004,,
509,0.006,,
510,0.007,,
511,0.008,,
512,0.006,,
513,0.005,,
514,0.005,,
515,0.005,,
516,0.005,,
517,0.005,,
518,0.005,,
519,0.005,,
520,0.005,,
521,0.005,,
522,0.004,,
523,0.003,,
524,0.002,,
525,0.002,,
526,0.003,,
527,0.004,,
528,0.005,,
529,0.006,,
530,0.005,,
531,0.004,,
532,0.003,,
533,0.004,,
534,0.004,,
535,0.005,,
536,0.005,,
537,0.005,,
538,0.005,,
539,0.005,,
540,0.003,,
541,0.003,,
542,0.004,,
543,0.005,,
544,0.005,,
545,0.004,,
546,0.004,,
547,0.004,,
548,0.005,,
549,0.005,,
550,0.005,,
551,0.004,,
552,0.003,,
553,0.001,,
554,0.001,,
555,0.002,,
556,0.003,,
557,0.004,,
558,0.003,,
559,0.002,,
560,0.003,,
561,0.003,,
562,0.004,,
563,0.003,,
564,0.003,,
565,0.003,,
566,0.003,,
567,0.003,,
568,0.003,,
569,0.004,,
570,0.004,,
571,0.003,,
572,0.003,,
573,0.002,,
574,0.003,,
575,0.003,,
576,0.003,,
577,0.003,,
578,0.003,,
579,0.003,,
580,0.003,,
581,0.002,,
582,0.002,,
583,0.003,,
584,0.003,,
585,0.002,,
586,0.001,,
587,0.002,,
588,0.002,,
589,0.003,,
590,0.004,,
591,0.004,,
592,0.003,,
593,0.002,,
594,0.002,,
595,0.002,,
596,0.003,,
597,0.005,,
598,0.006,,
599,0.005,,
600,0.003,,
601,0.001,,
602,0.001,,
603,0.001,,
604,0.003,,
605,0.004,,
606,0.004,,
607,0.003,,
608,0.001,,
609,0.002,,
610,0.003,,
611,0.003,,
612,0.002,,
613,0,,
614,0.001,,
615,0.002,,
616,0.003,,
617,0.003,,
618,0.002,,
619,0.002,,
620,0.002,,
621,0.003,,
622,0.003,,
623,0.002,,
624,0.002,,
625,0.003,,
626,0.003,,
627,0.003,,
628,0.002,,
629,0.001,,
630,0.002,,
631,0.002,,
632,0.004,,
633,0.002,,
634,0.001,,
635,0,,
636,0.001,,
637,0.001,,
638,0.002,,
639,0.002,,
640,0.003,,
641,0.001,,
642,0.001,,
643,0.002,,
644,0.003,,
645,0.002,,
646,0.001,,
647,0.002,,
648,0.001,,
649,0.001,,
650,0.001,,
651,0.001,,
652,0,,
653,0,,
654,0,,
655,0.002,,
656,0.003,,
657,0.003,,
658,0.001,,
659,-0.001,,
660,-0.001,,
661,0.001,,
662,0.004,,
663,0.002,,
664,0.001,,
665,0.002,,
666,0.003,,
667,0.003,,
668,0.002,,
669,0.002,,
670,0.002,,
671,0.001,,
672,0,,
673,0.002,,
674,0.003,,
675,0.004,,
676,0.004,,
677,0.003,,
678,0.002,,
679,0.001,,
680,0.002,,
681,0.003,,
682,0.002,,
683,0.001,,
684,0,,
685,0.002,,
686,0.003,,
687,0.004,,
688,0.003,,
689,0.001,,
690,0.002,,
691,0.002,,
692,0.002,,
693,0.001,,
694,-0.001,,
695,-0.001,,
696,-0.001,,
697,0.001,,
698,0.003,,
699,0.004,,
700,0.003,,
701,0.001,,
702,0,,
703,0.002,,
704,0.003,,
705,0.002,,
706,0.002,,
707,0.002,,
708,0.003,,
709,0.002,,
710,0.002,,
711,0.003,,
712,0.004,,
713,0.003,,
714,0.001,,
715,-0.001,,
716,-0.001,,
717,-0.001,,
718,0.002,,
719,0.003,,
720,0.002,,
721,0.001,,
722,0.001,,
723,0,,
724,0.001,,
725,0,,
726,0,,
727,0.001,,
728,0.002,,
729,0.003,,
730,0.004,,
731,0.002,,
732,0,,
733,-0.001,,
734,0.001,,
735,0.002,,
736,0.002,,
737,0.004,,
738,0.003,,
739,0.001,,
740,0,,
741,0.001,,
742,0.002,,
743,-0.002,,
744,0,,
745,0.002,,
746,0.006,,
747,0.002,,
748,-0.001,,
749,-0.001,,
750,0,,
751,0.002,,
752,0.004,,
753,0.003,,
754,0.001,,
755,0.001,,
756,0.002,,
757,0.003,,
758,0.002,,
759,0.002,,
760,0.002,,
761,0.002,,
762,0.004,,
763,0.004,,
764,0.002,,
765,0,,
766,0.002,,
767,0.004,,
768,0.003,,
769,0,,
770,0.002,,
771,0.003,,
772,0.002,,
773,0.002,,
774,0.001,,
775,0.001,,
776,0,,
777,0,,
778,0,,
779,-0.002,,
780,0.001,,
781,-0.001,,
782,0,,
783,-0.002,,
784,0,,
785,0.001,,
786,0,,
787,0.001,,
788,0,,
789,0.002,,
790,0.003,,
791,0.003,,
792,-0.002,,
793,-0.002,,
794,-0.001,,
795,-0.003,,
796,-0.002,,
797,0.001,,
798,0.004,,
799,0.002,,
800,0.003,,
801,0.003,,
802,0.006,,
803,0.007,,
804,0.006,,
805,0.004,,
806,0.001,,
807,-0.005,,
808,-0.002,,
809,-0.003,,
810,-0.005,,
811,-0.004,,
812,-0.002,,
813,0,,
814,0.003,,
815,0.006,,
816,0.005,,
817,0.002,,
818,0.001,,
819,0.003,,
820,0,,
821,-0.003,,
822,-0.002,,
823,0.002,,
824,0,,
825,0.002,,
826,0.003,,
827,0.003,,
828,0.002,,
829,0.007,,
830,0.007,,
831,0.003,,
832,0,,
833,0.003,,
834,0.004,,
835,0.005,,
836,0.007,,
837,0.005,,
838,0.004,,
839,0.002,,
840,0.008,,
