Wavelength (nm),Absorbance,Title,Time
190,0.224,bod1_1jul,7/2/2014 1:28:46 PM
191,0.177,,
192,-0.034,,
193,-0.485,,
194,-0.503,,
195,-0.116,,
196,0.489,,
197,0.438,,
198,-0.051,,
199,-0.106,,
200,-0.204,,
201,0.028,,
202,0.08,,
203,-0.11,,
204,-0.103,,
205,-0.499,,
206,-0.578,,
207,-0.522,,
208,-0.395,,
209,-0.083,,
210,-0.032,,
211,-0.003,,
212,0.097,,
213,0.127,,
214,-0.024,,
215,-0.237,,
216,-0.253,,
217,0.004,,
218,0.199,,
219,0.259,,
220,0.211,,
221,0.196,,
222,0.182,,
223,0.178,,
224,0.198,,
225,0.197,,
226,0.195,,
227,0.193,,
228,0.193,,
229,0.196,,
230,0.191,,
231,0.186,,
232,0.18,,
233,0.174,,
234,0.17,,
235,0.165,,
236,0.165,,
237,0.163,,
238,0.161,,
239,0.156,,
240,0.153,,
241,0.153,,
242,0.153,,
243,0.153,,
244,0.15,,
245,0.148,,
246,0.148,,
247,0.147,,
248,0.145,,
249,0.142,,
250,0.139,,
251,0.138,,
252,0.137,,
253,0.135,,
254,0.135,,
255,0.134,,
256,0.133,,
257,0.131,,
258,0.13,,
259,0.13,,
260,0.129,,
261,0.128,,
262,0.127,,
263,0.125,,
264,0.125,,
265,0.124,,
266,0.123,,
267,0.12,,
268,0.119,,
269,0.118,,
270,0.118,,
271,0.116,,
272,0.114,,
273,0.112,,
274,0.111,,
275,0.111,,
276,0.109,,
277,0.108,,
278,0.107,,
279,0.105,,
280,0.103,,
281,0.101,,
282,0.1,,
283,0.098,,
284,0.096,,
285,0.095,,
286,0.093,,
287,0.092,,
288,0.091,,
289,0.089,,
290,0.088,,
291,0.086,,
292,0.086,,
293,0.084,,
294,0.083,,
295,0.083,,
296,0.082,,
297,0.082,,
298,0.08,,
299,0.077,,
300,0.075,,
301,0.074,,
302,0.074,,
303,0.073,,
304,0.071,,
305,0.069,,
306,0.068,,
307,0.067,,
308,0.066,,
309,0.067,,
310,0.066,,
311,0.065,,
312,0.063,,
313,0.062,,
314,0.062,,
315,0.061,,
316,0.06,,
317,0.058,,
318,0.058,,
319,0.058,,
320,0.057,,
321,0.056,,
322,0.054,,
323,0.053,,
324,0.052,,
325,0.052,,
326,0.05,,
327,0.049,,
328,0.05,,
329,0.05,,
330,0.05,,
331,0.049,,
332,0.048,,
333,0.047,,
334,0.046,,
335,0.045,,
336,0.045,,
337,0.044,,
338,0.043,,
339,0.043,,
340,0.042,,
341,0.042,,
342,0.041,,
343,0.04,,
344,0.039,,
345,0.038,,
346,0.039,,
347,0.039,,
348,0.039,,
349,0.038,,
350,0.037,,
351,0.037,,
352,0.036,,
353,0.034,,
354,0.034,,
355,0.034,,
356,0.034,,
357,0.033,,
358,0.033,,
359,0.033,,
360,0.032,,
361,0.031,,
362,0.03,,
363,0.029,,
364,0.029,,
365,0.028,,
366,0.028,,
367,0.028,,
368,0.028,,
369,0.028,,
370,0.028,,
371,0.027,,
372,0.026,,
373,0.026,,
374,0.025,,
375,0.023,,
376,0.024,,
377,0.024,,
378,0.024,,
379,0.024,,
380,0.023,,
381,0.024,,
382,0.022,,
383,0.021,,
384,0.021,,
385,0.021,,
386,0.021,,
387,0.02,,
388,0.019,,
389,0.019,,
390,0.02,,
391,0.019,,
392,0.019,,
393,0.019,,
394,0.019,,
395,0.018,,
396,0.016,,
397,0.016,,
398,0.016,,
399,0.017,,
400,0.017,,
401,0.016,,
402,0.017,,
403,0.017,,
404,0.016,,
405,0.015,,
406,0.015,,
407,0.014,,
408,0.015,,
409,0.015,,
410,0.016,,
411,0.015,,
412,0.014,,
413,0.015,,
414,0.015,,
415,0.014,,
416,0.013,,
417,0.013,,
418,0.013,,
419,0.013,,
420,0.012,,
