Wavelength (nm),Absorbance,Title,Time
190,0.309,repwaterN_17jun,6/18/2014 2:26:01 PM
191,-0.013,,
192,-0.05,,
193,-0.223,,
194,-0.314,,
195,-0.248,,
196,-0.286,,
197,-0.268,,
198,-0.186,,
199,0.094,,
200,0.209,,
201,0.315,,
202,0.199,,
203,0.251,,
204,0.367,,
205,0.291,,
206,0.273,,
207,0.151,,
208,-0.096,,
209,0.002,,
210,0.324,,
211,0.469,,
212,0.22,,
213,0.059,,
214,0.137,,
215,0.16,,
216,0.15,,
217,0.158,,
218,0.193,,
219,0.21,,
220,0.196,,
221,0.188,,
222,0.161,,
223,0.173,,
224,0.179,,
225,0.182,,
226,0.177,,
227,0.175,,
228,0.177,,
229,0.177,,
230,0.173,,
231,0.169,,
232,0.163,,
233,0.159,,
234,0.155,,
235,0.151,,
236,0.15,,
237,0.149,,
238,0.148,,
239,0.145,,
240,0.141,,
241,0.139,,
242,0.14,,
243,0.14,,
244,0.136,,
245,0.133,,
246,0.133,,
247,0.133,,
248,0.132,,
249,0.128,,
250,0.126,,
251,0.125,,
252,0.125,,
253,0.124,,
254,0.124,,
255,0.123,,
256,0.123,,
257,0.123,,
258,0.122,,
259,0.121,,
260,0.119,,
261,0.117,,
262,0.115,,
263,0.114,,
264,0.114,,
265,0.113,,
266,0.111,,
267,0.109,,
268,0.108,,
269,0.106,,
270,0.105,,
271,0.104,,
272,0.103,,
273,0.101,,
274,0.1,,
275,0.099,,
276,0.098,,
277,0.096,,
278,0.095,,
279,0.093,,
280,0.092,,
281,0.091,,
282,0.088,,
283,0.086,,
284,0.084,,
285,0.083,,
286,0.083,,
287,0.083,,
288,0.082,,
289,0.08,,
290,0.078,,
291,0.077,,
292,0.075,,
293,0.073,,
294,0.072,,
295,0.073,,
296,0.074,,
297,0.073,,
298,0.071,,
299,0.068,,
300,0.065,,
301,0.064,,
302,0.064,,
303,0.063,,
304,0.062,,
305,0.062,,
306,0.061,,
307,0.06,,
308,0.058,,
309,0.058,,
310,0.058,,
311,0.057,,
312,0.056,,
313,0.054,,
314,0.052,,
315,0.052,,
316,0.052,,
317,0.052,,
318,0.051,,
319,0.051,,
320,0.05,,
321,0.05,,
322,0.049,,
323,0.048,,
324,0.047,,
325,0.045,,
326,0.044,,
327,0.044,,
328,0.044,,
329,0.042,,
330,0.042,,
331,0.041,,
332,0.041,,
333,0.041,,
334,0.04,,
335,0.039,,
336,0.037,,
337,0.036,,
338,0.037,,
339,0.037,,
340,0.036,,
341,0.035,,
342,0.034,,
343,0.034,,
344,0.034,,
345,0.034,,
346,0.034,,
347,0.032,,
348,0.032,,
349,0.031,,
350,0.031,,
351,0.031,,
352,0.03,,
353,0.03,,
354,0.029,,
355,0.028,,
356,0.027,,
357,0.027,,
358,0.029,,
359,0.029,,
360,0.029,,
361,0.027,,
362,0.026,,
363,0.026,,
364,0.025,,
365,0.024,,
366,0.024,,
367,0.023,,
368,0.023,,
369,0.022,,
370,0.022,,
371,0.022,,
372,0.022,,
373,0.022,,
374,0.021,,
375,0.02,,
376,0.02,,
377,0.02,,
378,0.019,,
379,0.019,,
380,0.019,,
381,0.018,,
